t_mean_x_acc,t_std_deviation_x_acc,t_rms_x_acc,t_skew_x_acc,t_kurtosis_x_acc,f_mean_x_acc,f_max_x_acc,f_average_E_per_coeff_x_acc,t_mean_y_acc,t_std_deviation_y_acc,t_rms_y_acc,t_skew_y_acc,t_kurtosis_y_acc,f_mean_y_acc,f_max_y_acc,f_average_E_per_coeff_y_acc,t_mean_z_acc,t_std_deviation_z_acc,t_rms_z_acc,t_skew_z_acc,t_kurtosis_z_acc,f_mean_z_acc,f_max_z_acc,f_average_E_per_coeff_z_acc,t_mean_x_gyro,t_std_deviation_x_gyro,t_rms_x_gyro,t_skew_x_gyro,t_kurtosis_x_gyro,f_mean_x_gyro,f_max_x_gyro,f_average_E_per_coeff_x_gyro,t_mean_y_gyro,t_std_deviation_y_gyro,t_rms_y_gyro,t_skew_y_gyro,t_kurtosis_y_gyro,f_mean_y_gyro,f_max_y_gyro,f_average_E_per_coeff_y_gyro,t_mean_z_gyro,t_std_deviation_z_gyro,t_rms_z_gyro,t_skew_z_gyro,t_kurtosis_z_gyro,f_mean_z_gyro,f_max_z_gyro,f_average_E_per_coeff_z_gyro,label
-4660.390728476821,1722.0432533872531,4968.3674087781865,-0.8576340227924557,-0.018701006517528818,12818.908304023393,47896.67741089742,6960892756.526316,-646.0993377483444,2734.937837846955,2810.218733679965,0.041794147036222126,1.0778624691770586,7698.22845917035,136707.89031967006,1247270755.2631578,-1027.4039735099338,2158.062121805954,2390.144565995458,1.6919553311541817,2.6664704872699545,2395.9727274986035,106935.29706833747,1015297024.2894737,-1417.7019867549668,6264.282031866403,6422.70256963634,-0.8120405549566783,0.9425099533431327,8721.659539070293,321587.3929413671,6489432694.947369,1104.2649006622516,7036.482627768453,7122.604070262635,0.6678016547727279,1.6599540894003129,9266.630951184474,302672.6186285236,7792975239.052631,-484.112582781457,11190.181134448281,11200.648142610746,-0.2721241357589358,1.0062858627792606,24756.835014038857,522351.9283365682,18854159471.65789,final
-5217.3087248322145,2257.775486247407,5684.879987872221,-1.0739397463447478,-0.08339206837935986,12188.086740894676,122315.2054978584,8812046200.533335,-276.5704697986577,2949.206648536562,2962.1463637938136,0.9721746469127421,1.9925501023330927,6017.335478562323,126602.47929494368,1309977746.533333,-1022.2684563758389,2255.4009974890937,2476.260579255713,1.5037693178479048,2.781820989556624,1946.5541641892917,132450.8553148918,1062228935.4800003,-1568.9530201342282,7318.180034997672,7484.475439469813,0.1467939612288276,1.5735948096714898,22928.045032157297,420731.3364253656,8655279815.053335,119.48322147651007,11253.909425786776,11254.543687063764,-0.05350388767125626,1.0419781233830614,13981.571933576319,499733.8815486027,18749340943.813335,-813.8120805369127,11887.029125950536,11914.854239294082,-0.2002510793816404,1.1497949617669745,10410.11280406598,603098.1752229169,21109605003.893326,final
-5006.238410596026,2082.2597973572338,5422.013361051153,-1.1916718820230934,0.6142605335616351,11754.304025079691,74023.38488970019,8169456080.434211,-278.4039735099338,2759.7057458527747,2773.713138765244,0.7245717538779937,1.406471925570675,6054.958407733398,141493.3503183431,1165700127.25,-1014.4238410596026,2134.6440664798038,2363.4214647132976,1.1828793994112514,2.376703364476083,1838.6922427705272,125228.16350198192,992266030.907895,-1557.7417218543046,6143.1012299466365,6337.527277525319,-0.1916433630574685,1.1320552984707062,20003.283675640883,365011.415815287,6388901892.513157,526.5165562913908,9409.19064711901,9423.910457866246,0.14018723381037676,1.362989224147693,11041.85995004137,489787.8406653284,13363682300.999998,-553.2913907284768,11073.898933255876,11087.71252094046,-0.17490338995359136,1.1541309099508323,10602.517543870328,574901.2932145281,18487335859.013157,final
-5069.113333333334,2171.6659274595827,5514.711496231391,-1.4397285228811667,0.9174125080818456,10728.953911715647,67903.07994525383,8305456477.157893,-757.3866666666667,2807.3246784953267,2907.6977857633924,0.2239684770115373,0.5589892464418509,7247.35538882592,47696.20777803999,1336470708.8157892,-940.1666666666666,3052.6641117045433,3194.1621029622147,1.3217251055288517,1.9921384858307523,3009.7678365582797,167079.04215195894,1641107528.3947365,-2020.7266666666667,7937.711828897684,8190.885504022139,0.2035689057709735,4.107962728161987,34574.514873144355,466021.1024431495,10536179144.947367,-4.133333333333334,9791.516700128172,9791.517572538658,-0.40858544450405543,1.3801996796850293,12764.474013339237,198175.0743855291,14192868463.157894,173.51333333333332,9917.709906852937,9919.227624837195,0.05075262254842546,1.5846891342048952,11342.670211735613,551128.040660826,14568931579.631578,final
-5008.1866666666665,2230.2511888026324,5482.331078413026,-1.376405686958377,1.271872218825692,12388.558045872964,72214.8207038176,8161868239.210528,-1223.58,3364.9247525415285,3580.484130207348,-0.6482987375394244,0.9685914228619432,8888.168065424337,87634.58444271742,2119346912.7631571,-1915.9,2041.6358139165434,2799.812423478878,0.5022680524680116,3.4307289527299094,2411.202200632067,92031.84117371507,1703728247.368421,-2651.4733333333334,5902.833731575219,6470.993501773897,-1.1953229473452291,2.427583242538531,4153.845972300715,187838.97881652546,7239089586.289474,-607.4666666666667,8272.550842931634,8294.824482772376,-0.47420435982211423,2.8619945882788205,13819.065904706038,160970.43021995644,10239485341.947369,-386.23333333333335,10393.583804390519,10400.757688104586,-0.9382024958754969,1.4292075115398406,24461.594886672035,497235.01777710224,16035328013.57895,final
-4586.945121951219,2323.8863324209274,5142.033959223226,-0.9763739568721727,0.39382605549343896,14956.022747430048,98238.00105622497,7693026529.433735,-968.140243902439,2883.027568726835,3041.240453154344,-0.9387369486174111,1.112597167007646,7232.702971699755,84578.68184960452,1650498579.5060241,-1250.9939024390244,2264.634721250764,2587.190786284256,0.8839151433135395,1.204720277590221,2163.0785565057067,108339.93718646251,1338112399.1686747,-1744.7743902439024,4882.397278684429,5184.789374676285,-0.6291932972735591,0.8460622691381952,4312.2226587096475,229750.4307608351,4848915015.891565,-144.01829268292684,6437.05859246567,6438.669473692792,-0.5302739183016641,1.2038181325652353,23475.349321488695,113060.17006102465,6723695330.734939,-150.1341463414634,10394.713872646995,10395.798033633471,-0.03327391891877992,0.7635829241554895,23728.264290268195,704463.4533737389,17514132459.518074,final
-5115.63125,2660.7985235213578,5766.240705065129,-1.226616302821477,0.3533052558267711,14959.25750164984,63556.79869136133,9389724620.555555,-903.94375,3108.698916441722,3237.456294106532,-0.24893641912570869,0.6073116068662197,6802.603582636891,96392.26029120434,1785428851.6666663,-1708.71875,2185.1598916666117,2773.922046264098,1.0120648479086474,2.1822301099017176,3208.0232059871037,131544.11811443916,1677407142.6296294,-2377.525,6106.141965216252,6552.678446635391,-2.021426846643044,6.404044862294759,5621.547307061326,272936.4696288327,7678454837.259257,204.1875,8040.884281429733,8043.476397833216,-0.35505464475037907,0.4612335855041083,23634.393213828287,139697.64116738064,10231543380.271603,-542.25,11038.936084944962,11052.246149539016,-0.607094570836168,1.4041795476475807,18840.96824481537,392098.65000485803,19349565675.283947,final
-4557.526627218935,2078.919929140177,5009.287077976845,-1.4305468871852147,1.811480681340611,13514.601087942887,63602.195460531664,7705422794.152943,-916.5680473372781,2616.777750529345,2772.6562681055666,-0.522273017121162,0.5437379696812763,7817.449044436564,108518.28116610297,1432707083.823529,-1166.6627218934912,1838.7101405382075,2177.6034734482687,1.2735832497464912,1.912993703008591,1665.17306922249,98458.13538460198,1025349777.7764705,-2004.810650887574,4739.760262794132,5146.318401991326,-0.9196089899650705,1.103469038510008,3169.385827610006,238965.456761854,5124827719.682353,258.5443786982249,5413.282970639894,5419.453636297328,-0.5225090682570921,1.5423670537213203,15110.591108951157,148951.32149754974,4945643409.894117,-167.72781065088756,10035.044406749757,10036.44602754906,-0.5898982542759055,1.1672568133246433,22811.49221985505,364537.62158384157,16928000785.400005,final
-4515.448051948052,2087.4939646610255,4974.625831390504,-0.9645614588383528,0.5944538152055121,12936.788774703902,67187.5956409544,6861879875.461538,-968.5064935064935,2383.4996294784833,2572.7563646191434,-0.5829935547305395,0.5066624356747607,5717.78349422854,51558.75965450439,1148895083.2820513,-1298.3246753246754,1890.4678108702572,2293.36336119977,1.8936067589078003,3.6423196399301068,1954.0964594614309,81732.91102503726,1055848513.0256411,-2359.246753246753,5094.897794511234,5614.626325876085,-0.6951020703709215,1.804604938129187,3169.376430564932,201446.2092294835,5638648485.641025,427.73376623376623,6202.8834068511815,6217.613588328422,-0.08427629419634586,-0.06488216496480126,13903.915978606203,123978.15892896513,5905255216.794871,-196.93506493506493,9966.726132536112,9968.671587567685,-0.37323977508574496,0.5570143129402267,24292.125998820127,433532.23767714266,15113649614.923077,final
-5031.8231292517,2334.2274857244092,5546.878578009769,-1.4225625229313037,1.2528882520134976,14306.889327606259,29849.836944449926,8189096437.567568,-628.3605442176871,2837.8978373637747,2906.6305421989114,-0.2188390259485634,-0.025874743845719195,6734.6384148031575,71376.49017404168,1291187112.3108106,-1110.1972789115646,2197.2761543547495,2461.8205654756075,1.3142744681102991,2.0415584256298525,1624.6008974164038,108601.21096342799,1064841657.918919,-2550.734693877551,5344.505707373066,5921.991956655622,-1.0721333204790895,1.2651486818930966,1406.9176232605212,214912.9952138481,6070411407.648648,365.8979591836735,6643.493453123629,6653.561946674224,0.11059006535828562,1.2678169965974178,17358.94167799193,175996.61742257627,6483250138.094593,135.72108843537416,11466.851263612001,11467.654429552987,-0.3402370159614112,0.9333042200221033,23313.320702868292,289255.56769077294,19203614362.04054,final
